0.39	0.929	1.181	0.313	1.021	0.597	0.64	1.25	0.449	0.239	0.353	0.348	0.275	0.435	0.133	0.096	0.092
0.4	1.024	1.321	0.374	1.038	0.624	0.623	1.265	0.46	0.314	0.327	0.385	0.295	0.429	0.142	0.133	0.098
0.41	1.109	1.447	0.339	1.054	0.607	0.615	1.345	0.43	0.306	0.383	0.419	0.29	0.443	0.117	0.143	0.105
0.42	1.016	1.513	0.364	1.027	0.605	0.696	1.222	0.521	0.304	0.368	0.361	0.304	0.449	0.126	0.135	0.101
0.43	1.096	1.604	0.303	1.081	0.549	0.633	1.261	0.477	0.305	0.359	0.352	0.334	0.466	0.116	0.131	0.1
0.44	1.117	1.49	0.358	1.081	0.575	0.625	1.27	0.491	0.28	0.376	0.391	0.338	0.479	0.122	0.123	0.086
0.45	1.024	1.594	0.401	1.175	0.536	0.67	1.188	0.427	0.303	0.4	0.37	0.31	0.461	0.126	0.13	0.071
0.46	0.989	1.65	0.34	1.054	0.556	0.63	1.146	0.44	0.29	0.377	0.386	0.278	0.457	0.114	0.126	0.072
0.47	0.988	1.725	0.347	1.116	0.564	0.625	1.115	0.435	0.281	0.34	0.365	0.265	0.442	0.138	0.135	0.082
0.48	0.986	1.605	0.366	1.089	0.653	0.645	0.929	0.427	0.288	0.344	0.307	0.278	0.415	0.131	0.118	0.063
0.49	0.984	1.703	0.29	1.027	0.692	0.531	0.951	0.396	0.289	0.307	0.291	0.239	0.43	0.122	0.102	0.095
0.5	0.928	1.716	0.326	0.969	0.839	0.511	0.743	0.329	0.247	0.327	0.283	0.238	0.4	0.099	0.125	0.088
0.51	0.967	1.821	0.328	1.032	0.857	0.563	0.557	0.335	0.219	0.292	0.258	0.233	0.36	0.088	0.11	0.08
0.52	0.858	1.687	0.317	0.97	0.823	0.507	0.472	0.285	0.216	0.308	0.253	0.194	0.318	0.1	0.102	0.05
0.53	0.866	1.676	0.3	0.915	0.771	0.486	0.514	0.248	0.191	0.292	0.206	0.187	0.316	0.094	0.091	0.07
0.54	0.805	1.575	0.298	0.949	0.693	0.48	0.464	0.274	0.186	0.295	0.23	0.182	0.31	0.099	0.116	0.054
0.55	0.836	1.61	0.313	0.901	0.676	0.491	0.472	0.274	0.186	0.289	0.229	0.168	0.286	0.089	0.088	0.068
0.56	0.884	1.517	0.298	0.969	0.567	0.483	0.461	0.274	0.194	0.294	0.211	0.185	0.333	0.086	0.107	0.056
0.57	0.863	1.577	0.303	0.908	0.506	0.512	0.535	0.277	0.201	0.336	0.256	0.186	0.357	0.095	0.119	0.062
0.58	0.878	1.641	0.3	1.047	0.482	0.524	0.615	0.341	0.181	0.307	0.283	0.21	0.341	0.098	0.106	0.069
0.59	0.896	1.671	0.301	0.978	0.408	0.524	0.799	0.348	0.25	0.283	0.285	0.202	0.349	0.107	0.097	0.07
0.6	0.925	1.697	0.345	1.023	0.415	0.511	0.877	0.325	0.231	0.331	0.313	0.202	0.367	0.106	0.076	0.092
0.61	0.924	1.742	0.353	0.984	0.375	0.563	0.977	0.356	0.235	0.279	0.33	0.225	0.353	0.12	0.113	0.084
